epoch,lr-Adam,step,train_a_loss,train_c_loss,train_e_loss,train_total_loss_epoch,train_total_loss_step,train_valence_loss,train_x_loss,val_a_loss_contribution_percent,val_a_masked_accuracy,val_a_masked_perplexity,val_a_masked_true_probability,val_atom_rms_bar,val_bond_acc_bar,val_c_loss_contribution_percent,val_c_masked_accuracy,val_c_masked_perplexity,val_c_masked_true_probability,val_cond_a_loss,val_cond_c_loss,val_cond_e_loss,val_cond_total_loss,val_cond_total_loss_bar,val_cond_valence_loss,val_cond_x_loss,val_condition_gain,val_condition_gain_percent,val_e_loss_contribution_percent,val_e_masked_accuracy,val_e_masked_perplexity,val_e_masked_true_probability,val_expected_atom_valence_violation_rate,val_expected_molecule_valence_pass_rate,val_expected_valence_overflow_mean,val_expected_valence_overflow_p95,val_selected_atom_valence_violation_rate,val_selected_molecule_valence_pass_rate,val_selected_valence_overflow_mean,val_selected_valence_overflow_p95,val_shuffled_condition_total_loss,val_valence_loss_contribution_percent,val_valence_pass_bar,val_x_atom_rms_displacement,val_x_axis_rmse,val_x_loss_contribution_percent,val_x_true_bond_length_mae
,0.00025,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2449,,,,,2.9056472778320312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2499,,,,,1.8396694660186768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2549,,,,,2.778665542602539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2599,,,,,1.8977181911468506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2649,,,,,3.353252410888672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2699,,,,,1.8233139514923096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2749,,,,,3.1975762844085693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2799,,,,,3.3450379371643066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2849,,,,,2.9436638355255127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2899,,,,,3.004483699798584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2949,,,,,1.6390670537948608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2999,,,,,2.7803196907043457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3049,,,,,2.0827789306640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3099,,,,,3.08233380317688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3149,,,,,2.4533140659332275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3199,,,,,1.1219815015792847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3249,,,,,2.7952418327331543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3299,,,,,2.719303846359253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3349,,,,,4.5801100730896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3399,,,,,1.9473333358764648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3449,,,,,2.5497608184814453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3473,,,,,,,,10.272337913513184,0.8158372640609741,1.7786755561828613,0.5654870867729187,1.418106198310852,0.9830616116523743,0.6533517241477966,0.99771648645401,1.014709711074829,0.9856128692626953,0.572959840297699,0.014546451158821583,0.0521407425403595,2.4311938285827637,2.4311938285827637,0.042821045964956284,0.6936806440353394,0.0032431939616799355,0.05367124825716019,4.646330833435059,0.9830616116523743,1.0536258220672607,0.9492854475975037,0.15045732259750366,0.036400001496076584,0.07094951719045639,0.5195431709289551,0.027979394420981407,0.43529999256134033,0.026424502953886986,0.00419999985024333,2.433894157409668,0.09466635435819626,0.43529999256134033,1.418106198310852,0.8187437057495117,84.33335876464844,0.39517465233802795
1,,3473,0.6157438158988953,0.016206955537199974,0.05623418092727661,2.6178643703460693,,0.053989287465810776,0.7467288374900818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3499,,,,,1.357905387878418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3549,,,,,2.5727345943450928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3599,,,,,1.740290641784668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3649,,,,,2.352475643157959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3699,,,,,2.1837258338928223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3749,,,,,3.8363325595855713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3799,,,,,3.2296810150146484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3849,,,,,2.616361618041992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3899,,,,,4.154845714569092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3949,,,,,4.3598761558532715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,3999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3999,,,,,3.950328826904297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4049,,,,,1.2404145002365112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4099,,,,,1.4906604290008545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,4149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4149,,,,,2.0831141471862793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4199,,,,,2.3337740898132324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00025,4249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4249,,,,,4.514801025390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
